28.01.2013  15:38:41   þ LBA warning: 242074560
28.01.2013  15:38:42   þ LBA warning: 242075580
28.01.2013  15:38:46   þ LBA Error: 242077488
28.01.2013  15:38:48   þ LBA warning: 242079405
28.01.2013  15:38:48   þ LBA Warning: 242080170
28.01.2013  15:38:49   þ LBA warning: 242081190
28.01.2013  15:38:50   þ LBA warning: 242082975
28.01.2013  15:38:50   þ LBA warning: 242083995
28.01.2013  15:38:54   þ LBA warning: 242085015
28.01.2013  15:38:54   þ LBA Warning: 242086800
28.01.2013  15:38:54   þ LBA Warning: 242087820
28.01.2013  15:38:54   þ LBA Warning: 242089605
28.01.2013  15:38:55   þ LBA Warning: 242092410
28.01.2013  15:38:55   þ LBA Warning: 242092665
28.01.2013  15:38:56   þ LBA Warning: 242095215
28.01.2013  15:38:56   þ LBA Warning: 242096235
28.01.2013  15:38:56   þ LBA Warning: 242097255
28.01.2013  15:38:58   þ LBA warning: 242098020
28.01.2013  15:38:58   þ LBA Warning: 242099040
28.01.2013  15:39:00   þ LBA warning: 242100060
28.01.2013  15:39:01   þ LBA Warning: 242101845
28.01.2013  15:39:03   þ LBA Warning: 242212005
28.01.2013  15:39:06   þ LBA warning: 242212260
28.01.2013  15:39:06   þ LBA Warning: 242213025
28.01.2013  15:39:07   þ LBA warning: 242214045
28.01.2013  15:39:11   þ LBA warning: 242214810
28.01.2013  15:39:12   þ LBA warning: 242216850
28.01.2013  15:39:12   þ LBA Warning: 242217870
28.01.2013  15:39:13   þ LBA Warning: 242219655
28.01.2013  15:39:13   þ LBA Warning: 242221440
28.01.2013  15:39:14   þ LBA warning: 242226285
28.01.2013  15:39:15   þ LBA Warning: 242227305
28.01.2013  15:39:17   þ LBA warning: 242231895
28.01.2013  15:39:17   þ LBA Warning: 242232150
28.01.2013  15:39:18   þ LBA Warning: 242233680
28.01.2013  15:39:18   þ LBA Warning: 242233935
28.01.2013  15:39:18   þ LBA Warning: 242235720
28.01.2013  15:39:20   þ LBA warning: 242236740
28.01.2013  15:39:21   þ LBA warning: 242238525
28.01.2013  15:39:21   þ LBA Warning: 242239545
28.01.2013  15:39:22   þ LBA warning: 242242350
28.01.2013  15:39:23   þ LBA Warning: 242243370
28.01.2013  15:39:23   þ LBA Warning: 242244135
28.01.2013  15:39:23   þ LBA Warning: 242244390
28.01.2013  15:39:24   þ LBA warning: 242245155
28.01.2013  15:39:25   þ LBA warning: 242245920
28.01.2013  15:39:26   þ LBA warning: 242246175
28.01.2013  15:39:27   þ LBA warning: 242246940
28.01.2013  15:39:28   þ LBA Warning: 242247195
28.01.2013  15:39:28   þ LBA Warning: 242248980
28.01.2013  15:39:29   þ LBA Warning: 242249745
28.01.2013  15:39:29   þ LBA Warning: 242250000
28.01.2013  15:39:29   þ LBA Warning: 242251785
28.01.2013  15:39:30   þ LBA Warning: 242252550
28.01.2013  15:39:30   þ LBA Warning: 242253570
28.01.2013  15:39:30   þ LBA Warning: 242254590
28.01.2013  15:39:31   þ LBA warning: 242256375
28.01.2013  15:39:31   þ LBA Warning: 242257395
28.01.2013  15:39:31   þ LBA Warning: 242258160
28.01.2013  15:39:33   þ LBA warning: 242258415
28.01.2013  15:39:34   þ LBA warning: 242259180
28.01.2013  15:39:34   þ LBA Warning: 242260200
28.01.2013  15:39:35   þ LBA Warning: 242261220
28.01.2013  15:39:35   þ LBA Warning: 242261985
28.01.2013  15:39:35   þ LBA warning: 242263005
28.01.2013  15:39:36   þ LBA Warning: 242264025
28.01.2013  15:39:37   þ LBA warning: 242265810
28.01.2013  15:39:37   þ LBA warning: 242266830
28.01.2013  15:39:38   þ LBA warning: 242268870
28.01.2013  15:39:40   þ LBA warning: 242269635
28.01.2013  15:39:41   þ LBA Warning: 242270655
28.01.2013  15:39:43   þ LBA warning: 242271420
28.01.2013  15:39:44   þ LBA warning: 242272440
28.01.2013  15:39:44   þ LBA Warning: 242273460
28.01.2013  15:39:46   þ LBA warning: 242275245
28.01.2013  15:39:49   þ LBA warning: 242276010
28.01.2013  15:39:49   þ LBA Warning: 242276265
28.01.2013  15:39:50   þ LBA warning: 242278050
28.01.2013  15:39:50   þ LBA Warning: 242279070
28.01.2013  15:39:51   þ LBA Warning: 242279835
28.01.2013  15:39:51   þ LBA Warning: 242280090
28.01.2013  15:39:53   þ LBA warning: 242281620
28.01.2013  15:39:53   þ LBA warning: 242281875
28.01.2013  15:39:54   þ LBA warning: 242282895
28.01.2013  15:39:54   þ LBA Warning: 242283660
28.01.2013  15:39:56   þ LBA warning: 242284680
28.01.2013  15:39:56   þ LBA Warning: 242285445
